 DlrZipToPmaId | ZipCd | DealerCd1 | DealerCd2 | DealerCd3 
15023|35207|AL037|AL030|AL034
15024|35208|AL037|AL030|AL034
15025|35209|AL037|AL030|AL034
15012|35184|AL009|AL030|AL037
15016|35188|AL009|AL030|AL037
15017|35201|AL037|AL030|AL034
15018|35202|AL037|AL030|AL034
15019|35203|AL037|AL030|AL034
15020|35204|AL037|AL030|AL034
15021|35205|AL037|AL030|AL034
15006|35178|AL034|AL030|AL037
15094|35449|AL009|AL030|AL037
15090|35444|AL009|AL030|AL037
15096|35453|AL009|AL030|AL037
15097|35456|AL009|AL030|AL037
15044|35231|AL037|AL030|AL034
15071|35291|AL037|AL030|AL034
15072|35292|AL037|AL030|AL034
15073|35293|AL037|AL030|AL034
15074|35294|AL037|AL030|AL034
15075|35295|AL037|AL030|AL034
15077|35297|AL037|AL030|AL034
15078|35298|AL037|AL030|AL034
15079|35401|AL009|AL030|AL032
15080|35402|AL009|AL030|AL032
15081|35403|AL009|AL030|AL032
15082|35404|AL009|AL030|AL037
15083|35405|AL009|AL030|AL037
15084|35406|AL009|AL030|AL032
15085|35407|AL009|AL030|AL037
15086|35440|AL009|AL030|AL037
15029|35213|AL037|AL030|AL034
15030|35214|AL037|AL030|AL034
15037|35221|AL037|AL030|AL034
15038|35222|AL037|AL030|AL034
15039|35223|AL037|AL030|AL034
15040|35224|AL037|AL030|AL034
15034|35218|AL037|AL030|AL034
15035|35219|AL037|AL030|AL034
15042|35228|AL037|AL030|AL034
15046|35233|AL037|AL030|AL034
15047|35234|AL037|AL030|AL034
15055|35246|AL037|AL030|AL034
15056|35249|AL037|AL030|AL034
15057|35253|AL037|AL030|AL034
15058|35254|AL037|AL030|AL034
15059|35255|AL037|AL030|AL034
15060|35259|AL037|AL030|AL034
15050|35237|AL037|AL030|AL034
15064|35270|AL037|AL030|AL034
15065|35282|AL037|AL030|AL034
15066|35283|AL037|AL030|AL034
15067|35285|AL037|AL030|AL034
15068|35287|AL037|AL030|AL034
15069|35288|AL037|AL030|AL034
14922|35034|AL009|AL030|AL037
14927|35042|AL009|AL030|AL037
14942|35060|AL037|AL030|AL034
14943|35061|AL037|AL030|AL034
14946|35064|AL037|AL030|AL034
14951|35073|AL037|AL030|AL034
14952|35074|AL009|AL030|AL037
14915|35020|AL037|AL030|AL034
14916|35021|AL037|AL030|AL034
14918|35023|AL037|AL030|AL034
14905|35005|AL037|AL030|AL034
14906|35006|AL037|AL030|AL032
14911|35014|AL034|AL030|AL021
14913|35016|AL020|AL031|AL022
14936|35053|AL032|AL031|AL034
15004|35175|AL020|AL031|AL022
14966|35098|AL032|AL031|AL034
14958|35083|AL022|AL031|AL020
15139|35553|AL032|AL031|AL038
15174|35613|AL020|AL031|AL038
15171|35610|AL038|AL031|AL020
15128|35541|AL032|AL031|AL037
15161|35585|AL038|AL031|AL032
15155|35578|AL032|AL031|AL037
15158|35581|AL038|AL031|AL032
15219|35748|AL020|AL031|AL022
15220|35749|AL020|AL031|AL038
15221|35750|AL020|AL031|TN052
15222|35751|AL020|AL031|AL022
15211|35739|AL020|AL031|TN052
15213|35741|AL020|AL031|AL022
15214|35742|AL020|AL031|AL038
15208|35674|AL038|AL031|AL020
15206|35672|AL038|AL031|AL020
15197|35651|AL038|AL031|AL032
15198|35652|AL038|AL031|AL020
15199|35653|AL038|AL031|MS038
15200|35654|AL038|AL031|AL032
15201|35660|AL038|AL031|AL020
15202|35661|AL038|AL031|AL020
15203|35662|AL038|AL031|AL020
15194|35648|AL038|AL031|AL020
15191|35645|AL038|AL031|AL020
15192|35646|AL038|AL031|AL020
15184|35630|AL038|AL031|AL020
15185|35631|AL038|AL031|AL020
15186|35632|AL038|AL031|AL020
15187|35633|AL038|AL031|MS038
15188|35634|AL038|AL031|AL020
15181|35620|AL020|AL031|AL038
15178|35617|AL038|AL031|TN052
15179|35618|AL038|AL031|AL020
15216|35745|AL020|AL031|TN008
15227|35757|AL020|AL031|AL038
15228|35758|AL020|AL031|AL038
15229|35759|AL020|AL031|TN052
15230|35760|AL020|AL031|AL022
15231|35761|AL020|AL031|TN052
15232|35762|AL020|AL031|AL038
15233|35763|AL020|AL031|AL022
15234|35764|AL020|AL031|AL022
15245|35776|AL020|AL031|AL022
15246|35801|AL020|AL031|AL022
15247|35802|AL020|AL031|AL022
15248|35803|AL020|AL031|AL022
15249|35804|AL020|AL031|AL022
15250|35805|AL020|AL031|AL022
15251|35806|AL020|AL031|AL038
15252|35807|AL020|AL031|AL038
15253|35808|AL020|AL031|AL038
15254|35809|AL020|AL031|AL038
15255|35810|AL020|AL031|AL038
15256|35811|AL020|AL031|AL022
15257|35812|AL020|AL031|AL022
15258|35813|AL020|AL031|AL038
15259|35814|AL020|AL031|AL038
15260|35815|AL020|AL031|AL022
15261|35816|AL020|AL031|AL038
15262|35824|AL020|AL031|AL038
15263|35893|AL020|AL031|AL038
15264|35894|AL020|AL031|AL038
15265|35895|AL020|AL031|AL022
15266|35896|AL020|AL031|AL038
15267|35897|AL020|AL031|AL022
15268|35898|AL020|AL031|AL022
15269|35899|AL020|AL031|AL038
15236|35766|AL020|AL031|TN008
15237|35767|AL020|AL031|AL022
15242|35773|AL020|AL031|TN052
15243|35774|AL020|AL031|AL022
15920|37335|AL020|AL031|TN052
15929|37345|AL020|AL031|TN051
15931|37348|AL020|AL031|TN052
15913|37328|AL020|AL031|TN051
16443|38481|AL038|AL031|TN052
16426|38457|AL038|AL031|AL020
16431|38463|AL038|AL031|TN052
16434|38469|AL038|AL031|TN052
16449|38488|AL020|AL031|TN052
16441|38477|AL020|AL031|TN052
